área bounding box,ocorrências,%
759,63,0.0114%
760,71,0.0129%
765,39,0.0071%
767,23,0.0042%
768,49,0.0089%
770,99,0.018%
774,21,0.0038%
775,17,0.0031%
776,1,0.0002%
777,43,0.0078%
779,23,0.0042%
780,92,0.0167%
781,8,0.0015%
782,47,0.0085%
783,12,0.0022%
784,39,0.0071%
790,8,0.0015%
792,129,0.0234%
793,29,0.0053%
795,25,0.0045%
798,76,0.0138%
799,30,0.0054%
800,74,0.0134%
803,15,0.0027%
804,6,0.0011%
805,46,0.0083%
806,23,0.0042%
808,1,0.0002%
810,68,0.0123%
812,31,0.0056%
814,49,0.0089%
816,79,0.0143%
817,29,0.0053%
819,54,0.0098%
820,38,0.0069%
824,1,0.0002%
825,42,0.0076%
826,26,0.0047%
828,86,0.0156%
830,2,0.0004%
832,50,0.0091%
833,19,0.0034%
836,64,0.0116%
837,10,0.0018%
840,153,0.0278%
841,5,0.0009%
845,15,0.0027%
846,21,0.0038%
847,5,0.0009%
848,29,0.0053%
850,29,0.0053%
851,49,0.0089%
852,5,0.0009%
854,36,0.0065%
855,35,0.0063%
856,1,0.0002%
858,77,0.014%
860,22,0.004%
861,19,0.0034%
864,119,0.0216%
867,17,0.0031%
868,33,0.006%
869,11,0.002%
870,20,0.0036%
871,10,0.0018%
874,60,0.0109%
875,34,0.0062%
876,7,0.0013%
880,110,0.02%
882,48,0.0087%
884,68,0.0123%
885,24,0.0044%
888,55,0.01%
890,1,0.0002%
891,32,0.0058%
893,24,0.0044%
896,44,0.008%
897,51,0.0093%
899,9,0.0016%
900,101,0.0183%
901,19,0.0034%
902,25,0.0045%
903,15,0.0027%
904,2,0.0004%
909,1,0.0002%
910,50,0.0091%
912,103,0.0187%
913,4,0.0007%
915,28,0.0051%
918,47,0.0085%
920,70,0.0127%
923,13,0.0024%
924,80,0.0145%
925,38,0.0069%
927,1,0.0002%
928,16,0.0029%
930,23,0.0042%
931,17,0.0031%
935,19,0.0034%
936,87,0.0158%
938,12,0.0022%
940,31,0.0056%
943,32,0.0058%
944,11,0.002%
945,92,0.0167%
946,17,0.0031%
948,8,0.0015%
949,12,0.0022%
950,65,0.0118%
952,59,0.0107%
954,11,0.002%
957,13,0.0024%
960,113,0.0205%
961,3,0.0005%
962,42,0.0076%
963,1,0.0002%
966,69,0.0125%
968,20,0.0036%
969,37,0.0067%
970,2,0.0004%
972,58,0.0105%
975,88,0.016%
976,24,0.0044%
979,3,0.0005%
980,55,0.01%
984,37,0.0067%
986,23,0.0042%
987,32,0.0058%
988,76,0.0138%
989,20,0.0036%
990,95,0.0172%
992,53,0.0096%
994,21,0.0038%
996,16,0.0029%
999,28,0.0051%
1000,73,0.0132%
1001,22,0.004%
1003,14,0.0025%
1005,11,0.002%
1007,18,0.0033%
1008,116,0.021%
1012,45,0.0082%
1014,52,0.0094%
1015,22,0.004%
1017,1,0.0002%
1020,78,0.0141%
1022,19,0.0034%
1023,13,0.0024%
1024,33,0.006%
1025,28,0.0051%
1026,57,0.0103%
1027,23,0.0042%
1029,22,0.004%
1030,1,0.0002%
1032,56,0.0102%
1034,26,0.0047%
1035,47,0.0085%
1036,32,0.0058%
1037,31,0.0056%
1040,109,0.0198%
1044,30,0.0054%
1045,20,0.0036%
1050,82,0.0149%
1053,42,0.0076%
1054,50,0.0091%
1056,90,0.0163%
1058,18,0.0033%
1060,16,0.0029%
1062,37,0.0067%
1064,71,0.0129%
1065,20,0.0036%
1066,33,0.006%
1067,1,0.0002%
1068,1,0.0002%
1071,38,0.0069%
1072,11,0.002%
1073,22,0.004%
1075,42,0.0076%
1078,30,0.0054%
1079,15,0.0027%
1080,161,0.0292%
1081,46,0.0083%
1083,23,0.0042%
1085,14,0.0025%
1088,47,0.0085%
1089,14,0.0025%
1090,2,0.0004%
1092,129,0.0234%
1095,14,0.0025%
1096,1,0.0002%
1098,21,0.0038%
1100,100,0.0181%
1102,44,0.008%
1104,80,0.0145%
1105,27,0.0049%
1106,8,0.0015%
1107,28,0.0051%
1110,34,0.0062%
1111,2,0.0004%
1113,16,0.0029%
1116,51,0.0093%
1118,58,0.0105%
1120,117,0.0212%
1121,25,0.0045%
1122,76,0.0138%
1125,69,0.0125%
1127,27,0.0049%
1128,59,0.0107%
1130,1,0.0002%
1131,26,0.0047%
1133,2,0.0004%
1134,108,0.0196%
1136,11,0.002%
1139,11,0.002%
1140,84,0.0152%
1141,1,0.0002%
1144,92,0.0167%
1147,30,0.0054%
1148,47,0.0085%
1150,88,0.016%
1152,60,0.0109%
1155,69,0.0125%
1156,27,0.0049%
1157,8,0.0015%
1159,28,0.0051%
1160,78,0.0141%
1161,32,0.0058%
1162,4,0.0007%
1164,1,0.0002%
1166,15,0.0027%
1168,17,0.0031%
1170,137,0.0249%
1173,36,0.0065%
1175,53,0.0096%
1176,75,0.0136%
1177,1,0.0002%
1178,52,0.0094%
1180,28,0.0051%
1183,8,0.0015%
1184,47,0.0085%
1185,9,0.0016%
1188,102,0.0185%
1189,41,0.0074%
1190,65,0.0118%
1196,63,0.0114%
1197,72,0.0131%
1199,2,0.0004%
1200,166,0.0301%
1204,32,0.0058%
1206,21,0.0038%
1207,13,0.0024%
1208,2,0.0004%
1209,40,0.0073%
1210,22,0.004%
1212,2,0.0004%
1215,58,0.0105%
1216,60,0.0109%
1218,61,0.0111%
1219,18,0.0033%
1220,37,0.0067%
1221,50,0.0091%
1222,56,0.0102%
1224,80,0.0145%
1225,42,0.0076%
1230,27,0.0049%
1232,61,0.0111%
1233,1,0.0002%
1235,33,0.006%
1239,23,0.0042%
1240,59,0.0107%
1241,7,0.0013%
1242,94,0.0171%
1245,6,0.0011%
1246,10,0.0018%
1247,24,0.0044%
1248,164,0.0297%
1250,16,0.0029%
1251,1,0.0002%
1254,105,0.019%
1258,86,0.0156%
1260,225,0.0408%
1261,3,0.0005%
1264,9,0.0016%
1265,18,0.0033%
1269,55,0.01%
1270,1,0.0002%
1271,22,0.004%
1272,16,0.0029%
1273,20,0.0036%
1274,95,0.0172%
1275,31,0.0056%
1276,42,0.0076%
1278,18,0.0033%
1280,71,0.0129%
1281,32,0.0058%
1284,4,0.0007%
1287,60,0.0109%
1288,65,0.0118%
1290,33,0.006%
1292,133,0.0241%
1295,40,0.0073%
1296,148,0.0268%
1298,45,0.0082%
1300,59,0.0107%
1302,68,0.0123%
1305,30,0.0054%
1308,1,0.0002%
1309,15,0.0027%
1311,37,0.0067%
1312,46,0.0083%
1313,2,0.0004%
1314,16,0.0029%
1316,72,0.0131%
1320,125,0.0227%
1323,64,0.0116%
1325,21,0.0038%
1326,104,0.0189%
1328,11,0.002%
1330,110,0.02%
1332,91,0.0165%
1333,24,0.0044%
1334,65,0.0118%
1335,5,0.0009%
1339,1,0.0002%
1340,23,0.0042%
1342,29,0.0053%
1343,13,0.0024%
1344,124,0.0225%
1349,14,0.0025%
1350,89,0.0161%
1352,21,0.0038%
1353,27,0.0049%
1357,15,0.0027%
1358,15,0.0027%
1360,87,0.0158%
1363,53,0.0096%
1364,60,0.0109%
1365,140,0.0254%
1368,145,0.0263%
1369,37,0.0067%
1370,2,0.0004%
1372,42,0.0076%
1375,21,0.0038%
1376,32,0.0058%
1377,27,0.0049%
1378,26,0.0047%
1380,96,0.0174%
1386,87,0.0158%
1387,11,0.002%
1391,4,0.0007%
1392,58,0.0105%
1394,29,0.0053%
1395,43,0.0078%
1397,1,0.0002%
1400,215,0.039%
1403,15,0.0027%
1404,228,0.0414%
1406,99,0.018%
1407,26,0.0047%
1408,39,0.0071%
1410,41,0.0074%
1411,9,0.0016%
1414,2,0.0004%
1416,19,0.0034%
1417,1,0.0002%
1419,22,0.004%
1420,16,0.0029%
1421,27,0.0049%
1422,20,0.0036%
1424,3,0.0005%
1425,44,0.008%
1426,67,0.0122%
1428,97,0.0176%
1430,30,0.0054%
1431,13,0.0024%
1435,55,0.01%
1440,247,0.0448%
1442,2,0.0004%
1443,202,0.0366%
1444,88,0.016%
1445,10,0.0018%
1449,36,0.0065%
1450,53,0.0096%
1452,43,0.0078%
1455,6,0.0011%
1456,55,0.01%
1457,34,0.0062%
1458,40,0.0073%
1460,8,0.0015%
1462,19,0.0034%
1463,16,0.0029%
1464,19,0.0034%
1469,2,0.0004%
1470,99,0.018%
1472,58,0.0105%
1474,22,0.004%
1475,21,0.0038%
1476,80,0.0145%
1479,43,0.0078%
1480,160,0.029%
1482,165,0.0299%
1484,16,0.0029%
1485,50,0.0091%
1488,56,0.0102%
1491,18,0.0033%
1494,11,0.002%
1495,14,0.0025%
1496,52,0.0094%
1498,4,0.0007%
1500,62,0.0112%
1501,18,0.0033%
1503,1,0.0002%
1504,47,0.0085%
1505,32,0.0058%
1508,44,0.008%
1510,2,0.0004%
1512,155,0.0281%
1513,5,0.0009%
1515,11,0.002%
1517,75,0.0136%
1518,54,0.0098%
1519,26,0.0047%
1520,223,0.0405%
1521,106,0.0192%
1524,1,0.0002%
1525,18,0.0033%
1526,1,0.0002%
1529,1,0.0002%
1530,64,0.0116%
1533,16,0.0029%
1534,26,0.0047%
1536,70,0.0127%
1537,15,0.0027%
1539,55,0.01%
1540,79,0.0143%
1541,20,0.0036%
1544,1,0.0002%
1545,10,0.0018%
1547,10,0.0018%
1548,30,0.0054%
1550,48,0.0087%
1551,36,0.0065%
1552,4,0.0007%
1554,117,0.0212%
1557,1,0.0002%
1558,194,0.0352%
1560,432,0.0784%
1562,18,0.0033%
1564,56,0.0102%
1566,67,0.0122%
1568,65,0.0118%
1570,1,0.0002%
1575,46,0.0083%
1577,10,0.0018%
1580,22,0.004%
1581,51,0.0093%
1582,2,0.0004%
1584,103,0.0187%
1586,20,0.0036%
1587,16,0.0029%
1590,37,0.0067%
1591,69,0.0125%
1593,29,0.0053%
1595,39,0.0071%
1596,242,0.0439%
1598,61,0.0111%
1599,191,0.0346%
1600,269,0.0488%
1602,6,0.0011%
1605,11,0.002%
1606,23,0.0042%
1608,18,0.0033%
1610,46,0.0083%
1612,50,0.0091%
1615,30,0.0054%
1616,3,0.0005%
1617,25,0.0045%
1620,109,0.0198%
1624,72,0.0131%
1625,11,0.002%
1628,42,0.0076%
1632,95,0.0172%
1633,16,0.0029%
1634,69,0.0125%
1635,6,0.0011%
1638,255,0.0463%
1639,1,0.0002%
1640,332,0.0602%
1643,27,0.0049%
1644,2,0.0004%
1645,40,0.0073%
1647,32,0.0058%
1648,5,0.0009%
1649,10,0.0018%
1650,93,0.0169%
1651,1,0.0002%
1652,31,0.0056%
1653,33,0.006%
1656,62,0.0112%
1659,15,0.0027%
1660,15,0.0027%
1661,1,0.0002%
1664,48,0.0087%
1665,22,0.004%
1666,36,0.0065%
1670,1,0.0002%
1672,62,0.0112%
1674,53,0.0096%
1675,11,0.002%
1677,186,0.0337%
1679,11,0.002%
1680,424,0.0769%
1681,199,0.0361%
1682,38,0.0069%
1683,44,0.008%
1690,18,0.0033%
1691,8,0.0015%
1692,50,0.0091%
1694,16,0.0029%
1695,4,0.0007%
1696,26,0.0047%
1700,81,0.0147%
1701,16,0.0029%
1702,40,0.0073%
1703,1,0.0002%
1704,32,0.0058%
1705,25,0.0045%
1708,37,0.0067%
1710,126,0.0229%
1711,39,0.0071%
1712,10,0.0018%
1715,28,0.0051%
1716,166,0.0301%
1717,16,0.0029%
1720,296,0.0537%
1722,251,0.0455%
1725,42,0.0076%
1727,1,0.0002%
1728,107,0.0194%
1729,13,0.0024%
1734,31,0.0056%
1736,60,0.0109%
1738,13,0.0024%
1739,33,0.006%
1740,87,0.0158%
1742,14,0.0025%
1743,15,0.0027%
1744,6,0.0011%
1746,10,0.0018%
1748,54,0.0098%
1749,25,0.0045%
1750,54,0.0098%
1751,7,0.0013%
1752,18,0.0033%
1755,125,0.0227%
1760,317,0.0575%
1763,185,0.0336%
1764,343,0.0622%
1767,34,0.0062%
1768,48,0.0087%
1769,66,0.012%
1770,59,0.0107%
1771,22,0.004%
1775,17,0.0031%
1776,50,0.0091%
1778,2,0.0004%
1780,10,0.0018%
1782,64,0.0116%
1785,60,0.0109%
1786,54,0.0098%
1788,1,0.0002%
1792,61,0.0111%
1794,83,0.0151%
1798,81,0.0147%
1800,315,0.0571%
1802,35,0.0063%
1804,156,0.0283%
1805,19,0.0034%
1806,236,0.0428%
1807,2,0.0004%
1808,2,0.0004%
1809,16,0.0029%
1813,44,0.008%
1815,26,0.0047%
1817,17,0.0031%
1818,5,0.0009%
1819,13,0.0024%
1820,65,0.0118%
1824,92,0.0167%
1825,8,0.0015%
1826,7,0.0013%
1827,37,0.0067%
1829,35,0.0063%
1830,72,0.0131%
1833,32,0.0058%
1836,65,0.0118%
1840,80,0.0145%
1843,8,0.0015%
1845,47,0.0085%
1846,30,0.0054%
1848,170,0.0308%
1849,56,0.0102%
1850,43,0.0078%
1853,13,0.0024%
1854,10,0.0018%
1855,16,0.0029%
1856,69,0.0125%
1859,4,0.0007%
1860,102,0.0185%
1862,39,0.0071%
1863,17,0.0031%
1869,11,0.002%
1870,51,0.0093%
1872,103,0.0187%
1875,18,0.0033%
1876,9,0.0016%
1880,35,0.0063%
1881,45,0.0082%
1884,1,0.0002%
1885,17,0.0031%
1886,54,0.0098%
1887,44,0.008%
1888,45,0.0082%
1890,133,0.0241%
1891,66,0.012%
1892,103,0.0187%
1896,12,0.0022%
1898,12,0.0022%
1900,97,0.0176%
1903,1,0.0002%
1904,50,0.0091%
1905,1,0.0002%
1908,36,0.0065%
1909,10,0.0018%
1911,44,0.008%
1914,82,0.0149%
1917,20,0.0036%
1918,4,0.0007%
1919,14,0.0025%
1920,144,0.0261%
1921,6,0.0011%
1922,50,0.0091%
1924,37,0.0067%
1925,34,0.0062%
1926,4,0.0007%
1927,32,0.0058%
1932,67,0.0122%
1935,89,0.0161%
1936,55,0.01%
1937,1,0.0002%
1938,70,0.0127%
1940,15,0.0027%
1943,17,0.0031%
1944,69,0.0125%
1946,5,0.0009%
1947,45,0.0082%
1950,114,0.0207%
1952,74,0.0134%
1953,63,0.0114%
1955,22,0.004%
1957,10,0.0018%
1958,27,0.0049%
1960,67,0.0122%
1961,23,0.0042%
1962,13,0.0024%
1963,3,0.0005%
1965,3,0.0005%
1968,35,0.0063%
1971,12,0.0022%
1972,35,0.0063%
1974,37,0.0067%
1975,11,0.002%
1976,56,0.0102%
1978,90,0.0163%
1980,232,0.0421%
1984,77,0.014%
1988,28,0.0051%
1989,53,0.0096%
1992,6,0.0011%
1995,35,0.0063%
1998,53,0.0096%
2000,116,0.021%
2001,22,0.004%
2002,27,0.0049%
2006,40,0.0073%
2009,17,0.0031%
2010,19,0.0034%
2013,43,0.0078%
2014,73,0.0132%
2015,36,0.0065%
2016,156,0.0283%
2020,6,0.0011%
2021,56,0.0102%
2023,8,0.0015%
2024,79,0.0143%
2025,42,0.0076%
2028,41,0.0074%
2030,60,0.0109%
2032,6,0.0011%
2033,5,0.0009%
2034,8,0.0015%
2035,17,0.0031%
2037,10,0.0018%
2040,128,0.0232%
2044,11,0.002%
2046,92,0.0167%
2047,11,0.002%
2048,47,0.0085%
2050,81,0.0147%
2052,97,0.0176%
2054,22,0.004%
2055,4,0.0007%
2057,9,0.0016%
2058,57,0.0103%
2059,11,0.002%
2060,16,0.0029%
2064,59,0.0107%
2065,50,0.0091%
2067,60,0.0109%
2068,30,0.0054%
2070,58,0.0105%
2071,28,0.0051%
2072,63,0.0114%
2074,48,0.0087%
2075,6,0.0011%
2077,20,0.0036%
2079,66,0.012%
2080,130,0.0236%
2085,1,0.0002%
2086,1,0.0002%
2088,104,0.0189%
2090,42,0.0076%
2091,84,0.0152%
2093,11,0.002%
2100,203,0.0368%
2106,84,0.0152%
2107,93,0.0169%
2108,75,0.0136%
2109,43,0.0078%
2112,107,0.0194%
2114,5,0.0009%
2115,22,0.004%
2116,14,0.0025%
2117,14,0.0025%
2119,1,0.0002%
2120,46,0.0083%
2121,9,0.0016%
2124,84,0.0152%
2125,12,0.0022%
2128,72,0.0131%
2130,20,0.0036%
2132,104,0.0189%
2133,24,0.0044%
2134,11,0.002%
2135,54,0.0098%
2136,16,0.0029%
2139,23,0.0042%
2140,9,0.0016%
2142,275,0.0499%
2144,29,0.0053%
2145,96,0.0174%
2146,103,0.0187%
2147,7,0.0013%
2150,222,0.0403%
2156,120,0.0218%
2158,12,0.0022%
2159,7,0.0013%
2160,180,0.0327%
2162,37,0.0067%
2163,11,0.002%
2166,34,0.0062%
2170,59,0.0107%
2171,1,0.0002%
2173,26,0.0047%
2175,33,0.006%
2176,78,0.0141%
2178,70,0.0127%
2180,12,0.0022%
2183,197,0.0357%
2184,232,0.0421%
2185,12,0.0022%
2187,11,0.002%
2190,10,0.0018%
2192,3,0.0005%
2193,155,0.0281%
2196,63,0.0114%
2198,6,0.0011%
2200,219,0.0397%
2201,15,0.0027%
2204,125,0.0227%
2205,143,0.0259%
2208,69,0.0125%
2209,11,0.002%
2210,100,0.0181%
2211,38,0.0069%
2212,25,0.0045%
2214,45,0.0082%
2220,131,0.0238%
2222,7,0.0013%
2223,55,0.01%
2224,2,0.0004%
2225,9,0.0016%
2226,32,0.0058%
2227,2,0.0004%
2230,1,0.0002%
2231,5,0.0009%
2232,75,0.0136%
2233,15,0.0027%
2235,3,0.0005%
2236,112,0.0203%
2240,119,0.0216%
2241,10,0.0018%
2242,160,0.029%
2244,297,0.0539%
2247,9,0.0016%
2250,195,0.0354%
2254,33,0.006%
2255,10,0.0018%
2256,74,0.0134%
2257,54,0.0098%
2260,14,0.0025%
2261,22,0.004%
2262,134,0.0243%
2263,13,0.0024%
2264,1,0.0002%
2265,9,0.0016%
2266,14,0.0025%
2268,123,0.0223%
2272,16,0.0029%
2275,66,0.012%
2277,33,0.006%
2278,40,0.0073%
2279,125,0.0227%
2280,286,0.0519%
2286,4,0.0007%
2288,130,0.0236%
2289,18,0.0033%
2291,16,0.0029%
2294,55,0.01%
2295,165,0.0299%
2296,32,0.0058%
2299,2,0.0004%
2300,232,0.0421%
2301,316,0.0573%
2303,90,0.0163%
2304,107,0.0194%
2310,148,0.0268%
2312,84,0.0152%
2314,3,0.0005%
2318,113,0.0205%
2320,107,0.0194%
2322,56,0.0102%
2323,8,0.0015%
2324,7,0.0013%
2325,22,0.004%
2327,1,0.0002%
2328,15,0.0027%
2329,2,0.0004%
2331,23,0.0042%
2332,67,0.0122%
2336,12,0.0022%
2337,28,0.0051%
2338,1,0.0002%
2340,461,0.0836%
2343,16,0.0029%
2344,1,0.0002%
2345,70,0.0127%
2346,169,0.0307%
2349,43,0.0078%
2350,164,0.0297%
2352,220,0.0399%
2353,1,0.0002%
2354,12,0.0022%
2355,1,0.0002%
2356,79,0.0143%
2358,3,0.0005%
2360,196,0.0356%
2363,2,0.0004%
2364,1,0.0002%
2365,83,0.0151%
2366,11,0.002%
2368,41,0.0074%
2369,6,0.0011%
2370,21,0.0038%
2373,8,0.0015%
2375,11,0.002%
2376,107,0.0194%
2378,78,0.0141%
