área bounding box,ocorrências,% do total,prop mín,prop max,prop média,,Total bounding boxes
185,1,"0,0002%","0,1351351351","0,1351351351","0,1351351351",,
186,11,"0,0020%","0,1935483871","0,1935483871","0,1935483871",,
187,20,"0,0036%","0,6470588235","1,5454545455","0,7368983957",,
189,34,"0,0062%","0,2592592593","0,4285714286","0,3239962652",,
190,16,"0,0029%","0,1315789474","0,5263157895","0,4523026316",,
192,53,"0,0096%","0,046875","1,3333333333","0,456466195",,
195,27,"0,0049%","0,1282051282","1,1538461538","0,8712250712",,
196,24,"0,0044%","0,25",1,"0,59375",,
198,40,"0,0073%","0,0454545455","2,4444444444","0,5744949495",,
200,52,"0,0094%","0,08","0,5","0,3877884615",,
203,17,"0,0031%","0,2413793103","0,2413793103","0,2413793103",,
204,36,"0,0065%","0,1764705882","1,4166666667","0,4857026144",,
205,4,"0,0007%","0,1219512195","0,1219512195","0,1219512195",,
207,29,"0,0053%","0,3913043478","2,5555555556","0,5405630518",,
208,41,"0,0074%","0,3076923077","3,25","0,6563086304",,
209,15,"0,0027%","0,5789473684","1,7272727273","0,6555023923",,
210,74,"0,0134%","0,119047619","1,0714285714","0,5040540541",,
215,1,"0,0002%","0,1162790698","0,1162790698","0,1162790698",,
216,72,"0,0131%","0,1666666667","3,375","0,4558256173",,
217,7,"0,0013%","0,2258064516","0,2258064516","0,2258064516",,
220,55,"0,0100%","0,0727272727","1,8181818182","0,5088429752",,
221,36,"0,0065%","0,7647058824","1,3076923077","1,0663650075",,
222,9,"0,0016%","0,1621621622","0,1621621622","0,1621621622",,
224,62,"0,0112%","0,0714285714","1,1428571429","0,5585397465",,
225,54,"0,0098%","0,1111111111",1,"0,5094650206",,
228,29,"0,0053%","0,1578947368","1,5833333333","0,3703871748",,
230,38,"0,0069%","0,1086956522","2,3","0,4986270023",,
231,27,"0,0049%","0,2121212121","4,7142857143","0,5635722302",,
232,21,"0,0038%","0,0689655172","0,275862069","0,2561576355",,
234,53,"0,0096%","0,1538461538","1,3846153846","0,509272698",,
235,11,"0,0020%","0,1063829787","0,1063829787","0,1063829787",,
236,1,"0,0002%","0,0677966102","0,0677966102","0,0677966102",,
238,50,"0,0091%","0,2058823529","1,2142857143","0,6155462185",,
240,100,"0,0181%","0,1041666667","1,6666666667","0,6020833333",,
242,12,"0,0022%","0,5","0,5","0,5",,
243,23,"0,0042%","0,3333333333","0,3333333333","0,3333333333",,
245,21,"0,0038%","0,1020408163","0,2","0,1813411079",,
246,7,"0,0013%","0,1463414634","0,1463414634","0,1463414634",,
247,15,"0,0027%","0,6842105263","1,4615384615","0,787854251",,
248,27,"0,0049%","0,2580645161","0,2580645161","0,2580645161",,
250,57,"0,0103%","0,4","2,5","0,5105263158",,
252,73,"0,0132%","0,0634920635","3,1111111111","0,5235377256",,
253,11,"0,0020%","0,4782608696","0,4782608696","0,4782608696",,
255,40,"0,0073%","0,0980392157","1,1333333333","0,8541176471",,
256,43,"0,0078%","0,25",1,"0,511627907",,
258,4,"0,0007%","0,1395348837","0,1395348837","0,1395348837",,
259,8,"0,0015%","0,1891891892","0,1891891892","0,1891891892",,
260,48,"0,0087%","0,0961538462","1,5384615385","0,475",,
261,25,"0,0045%","0,3103448276","3,2222222222","0,4268199234",,
264,60,"0,0109%","0,1363636364","2,1818181818","0,5041035354",,
266,62,"0,0112%","0,1842105263","1,3571428571","0,3233689061",,
270,93,"0,0169%","0,0925925926","2,7","0,5683791318",,
272,38,"0,0069%","0,2352941176","1,0625","0,8282701238",,
273,22,"0,0040%","0,1794871795","0,619047619","0,5391275391",,
275,25,"0,0045%","0,0909090909","2,2727272727","0,4714181818",,
276,21,"0,0038%","0,1304347826","1,9166666667","0,476363009",,
279,20,"0,0036%","0,2903225806","0,2903225806","0,2903225806",,
280,67,"0,0122%","0,0892857143","1,4285714286","0,4323027719",,
282,5,"0,0009%","0,1276595745","0,1276595745","0,1276595745",,
285,16,"0,0029%","0,0877192982","1,2666666667","0,8052631579",,
286,43,"0,0078%","0,4230769231","2,3636363636","0,5523662384",,
287,9,"0,0016%","0,1707317073","0,1707317073","0,1707317073",,
288,100,"0,0181%","0,125","1,125","0,5262152778",,
289,17,"0,0031%",1,1,1,,
290,26,"0,0047%","0,0862068966","0,3448275862","0,3149867374",,
294,18,"0,0033%","0,1224489796","1,5","0,5136054422",,
296,28,"0,0051%","0,0540540541","0,2162162162","0,1756756757",,
297,70,"0,0127%","0,2727272727","2,4545454545","0,3947089947",,
299,14,"0,0025%","0,5652173913","0,5652173913","0,5652173913",,
300,80,"0,0145%","0,0533333333",3,"0,4778333333",,
301,8,"0,0015%","0,1627906977","0,1627906977","0,1627906977",,
302,1,"0,0002%","0,0132450331","0,0132450331","0,0132450331",,
304,37,"0,0067%","0,0526315789","1,1875","0,8055654339",,
305,1,"0,0002%","0,0819672131","0,0819672131","0,0819672131",,
306,37,"0,0067%","0,1176470588","1,0588235294","0,6004239534",,
308,52,"0,0094%","0,0519480519","2,5454545455","0,4614135864",,
310,41,"0,0074%","0,0806451613","3,1","0,3844217152",,
312,60,"0,0109%","0,1153846154","0,5416666667","0,3701923077",,
315,38,"0,0069%","0,0793650794","1,4","0,4235588972",,
318,1,"0,0002%","0,1132075472","0,1132075472","0,1132075472",,
319,18,"0,0033%","0,3793103448","2,6363636364","0,5047021944",,
320,68,"0,0123%","0,078125","3,2","0,5847886029",,
322,31,"0,0056%","0,152173913","1,6428571429","0,5134241635",,
323,27,"0,0049%","0,8947368421","1,1176470588","1,0598555212",,
324,65,"0,0118%","0,1111111111",1,"0,4162393162",,
325,22,"0,0040%","0,0769230769","0,52","0,4797202797",,
328,10,"0,0018%","0,1951219512","0,1951219512","0,1951219512",,
329,7,"0,0013%","0,1489361702","0,1489361702","0,1489361702",,
330,70,"0,0127%","0,0757575758","1,4666666667","0,372987013",,
333,24,"0,0044%","0,2432432432","0,2432432432","0,2432432432",,
335,3,"0,0005%","0,0746268657","0,0746268657","0,0746268657",,
336,92,"0,0167%","0,0476190476","2,3333333333","0,5138134058",,
338,19,"0,0034%","0,5",2,"0,5789473684",,
340,54,"0,0098%","0,0735294118","1,1764705882","0,6382352941",,
341,22,"0,0040%","0,3548387097","0,3548387097","0,3548387097",,
342,31,"0,0056%","0,1052631579","1,0555555556","0,710431994",,
343,5,"0,0009%","0,1428571429","0,1428571429","0,1428571429",,
344,5,"0,0009%","0,1860465116","0,1860465116","0,1860465116",,
345,13,"0,0024%","0,0260869565","1,5333333333","0,8073578595",,
348,34,"0,0062%","0,1034482759","2,4166666667","0,4859702502",,
350,102,"0,0185%","0,0714285714","0,56","0,1942857143",,
351,57,"0,0103%","0,2307692308","0,4814814815","0,3847153496",,
352,87,"0,0158%","0,1818181818","1,375","0,4440634796",,
354,6,"0,0011%","0,1016949153","0,1016949153","0,1016949153",,
355,2,"0,0004%","0,0704225352","0,0704225352","0,0704225352",,
357,22,"0,0040%","0,137254902","1,2352941176","0,7616501146",,
360,139,"0,0252%","0,0694444444","2,5","0,5635091926",,
361,5,"0,0009%",1,1,1,,
363,33,"0,0060%","0,3333333333",3,"0,4141414141",,
364,101,"0,0183%","0,1346153846","0,5384615385","0,4593896203",,
366,4,"0,0007%","0,0983606557","0,0983606557","0,0983606557",,
368,32,"0,0058%","0,1739130435","1,4375","0,7206182065",,
369,15,"0,0027%","0,0243902439","0,2195121951","0,206504065",,
370,19,"0,0034%","0,0675675676","0,2702702703","0,2275960171",,
371,10,"0,0018%","0,1320754717","0,1320754717","0,1320754717",,
372,25,"0,0045%","0,0967741935","2,5833333333","0,7682795699",,
374,59,"0,0107%","0,3235294118","3,0909090909","0,6844919786",,
375,28,"0,0051%","0,0666666667","0,6","0,4476190476",,
376,2,"0,0004%","0,170212766","0,170212766","0,170212766",,
377,47,"0,0085%","0,4482758621","2,2307692308","0,4862012529",,
378,81,"0,0147%","0,0952380952","1,1666666667","0,614703769",,
380,24,"0,0044%","0,0657894737","1,0526315789","0,55",,
384,103,"0,0187%","0,09375","2,6666666667","0,508697411",,
385,36,"0,0065%","0,1272727273","0,3142857143","0,2623376623",,
387,11,"0,0020%","0,2093023256","0,2093023256","0,2093023256",,
390,67,"0,0122%","0,0923076923","2,3076923077","0,5017986988",,
391,25,"0,0045%","0,7391304348","1,3529411765","1,0092071611",,
392,37,"0,0067%","0,125","0,5","0,32067016",,
396,110,"0,0200%","0,0909090909","2,75","0,5602846648",,
399,15,"0,0027%","0,1228070175","1,1052631579","0,6975772765",,
400,56,"0,0102%","0,04","1,5625","0,5735714286",,
402,5,"0,0009%","0,0895522388","0,0895522388","0,0895522388",,
403,23,"0,0042%","0,4193548387","2,3846153846","0,5048009494",,
405,26,"0,0047%","0,2","1,8","0,5076923077",,
406,45,"0,0082%","0,1206896552","0,4827586207","0,4264367816",,
407,19,"0,0034%","0,2972972973","0,2972972973","0,2972972973",,
408,60,"0,0109%","0,0882352941","1,4117647059","0,5517565359",,
410,67,"0,0122%","0,243902439","0,243902439","0,243902439",,
413,7,"0,0013%","0,1186440678","0,1186440678","0,1186440678",,
414,39,"0,0071%","0,0869565217","1,2777777778","0,7757339279",,
416,50,"0,0091%","0,0384615385","2,4615384615","0,5917307692",,
418,35,"0,0063%","0,2894736842","3,4545454545","0,6936431989",,
420,128,"0,0232%","0,0857142857","1,8666666667","0,4216703869",,
423,8,"0,0015%","0,1914893617","0,1914893617","0,1914893617",,
424,5,"0,0009%","0,1509433962","0,1509433962","0,1509433962",,
425,30,"0,0054%","0,68","1,4705882353","0,8908235294",,
426,7,"0,0013%","0,0845070423","0,0845070423","0,0845070423",,
427,4,"0,0007%","0,1147540984","0,1147540984","0,1147540984",,
429,48,"0,0087%","0,2820512821","2,5384615385","0,4296814297",,
430,11,"0,0020%","0,0581395349","0,2325581395","0,2167019027",,
432,79,"0,0143%","0,1481481481","1,6875","0,6215131271",,
434,32,"0,0058%","0,1129032258","2,2142857143","0,4749423963",,
435,41,"0,0074%","0,5172413793","1,9333333333","0,68993552",,
437,23,"0,0042%","0,8260869565","1,2105263158","1,126952542",,
438,2,"0,0004%","0,0821917808","0,0821917808","0,0821917808",,
440,35,"0,0063%","0,0568181818","4,4","0,3961688312",,
441,24,"0,0044%","0,1111111111",1,"0,2214663643",,
442,51,"0,0093%","0,3823529412","2,6153846154","0,6740750599",,
444,19,"0,0034%","0,3243243243","0,3243243243","0,3243243243",,
445,1,"0,0002%","0,0561797753","0,0561797753","0,0561797753",,
448,59,"0,0107%","0,109375","2,2857142857","0,537151937",,
450,117,"0,0212%","0,0555555556",2,"0,6037416904",,
451,14,"0,0025%","0,2682926829","0,2682926829","0,2682926829",,
453,1,"0,0002%","0,0198675497","0,0198675497","0,0198675497",,
455,40,"0,0073%","0,0549450549","2,6923076923","0,3556043956",,
456,62,"0,0112%","0,0197368421","1,2631578947","0,5303834182",,
459,49,"0,0089%","0,0196078431","1,5882352941","0,648125917",,
460,29,"0,0053%","0,0543478261","1,15","0,6489505247",,
462,64,"0,0116%","0,0779220779","2,3571428571","0,5004058442",,
464,48,"0,0087%","0,1379310345","1,8125","0,4318426724",,
465,38,"0,0069%","0,4838709677","0,4838709677","0,4838709677",,
468,89,"0,0161%","0,0769230769","2,7692307692","0,6004273504",,
469,8,"0,0015%","0,1044776119","0,1044776119","0,1044776119",,
470,8,"0,0015%","0,2127659574","0,2127659574","0,2127659574",,
472,23,"0,0042%","0,1355932203","0,1355932203","0,1355932203",,
473,10,"0,0018%","0,2558139535","0,2558139535","0,2558139535",,
475,21,"0,0038%","0,76","1,3157894737","1,0511278195",,
476,66,"0,0120%","0,1029411765","2,4285714286","0,6942322383",,
477,9,"0,0016%","0,1698113208","0,1698113208","0,1698113208",,
480,97,"0,0176%","0,0520833333","1,875","0,4901202749",,
481,29,"0,0053%","0,3513513514","0,3513513514","0,3513513514",,
483,22,"0,0040%","0,1014492754","1,0952380952","0,3559194429",,
484,19,"0,0034%","0,25",1,"0,4868421053",,
486,44,"0,0080%","0,1666666667","1,5","0,7575757576",,
488,10,"0,0018%","0,131147541","0,131147541","0,131147541",,
490,62,"0,0112%","0,1","2,5","0,4112574062",,
492,15,"0,0027%","0,0731707317","0,2926829268","0,2780487805",,
493,30,"0,0054%","0,5862068966","1,7058823529","0,6981744422",,
494,41,"0,0074%","0,3421052632","1,3684210526","0,6500444357",,
495,54,"0,0098%","0,1636363636","2,2","0,4093527871",,
496,35,"0,0063%","0,1290322581","1,9375","0,5125",,
497,8,"0,0015%","0,0985915493","0,0985915493","0,0985915493",,
498,1,"0,0002%","0,0722891566","0,0722891566","0,0722891566",,
500,39,"0,0071%","0,2","1,25","0,7576923077",,
504,119,"0,0216%","0,0972222222","2,5714285714","0,5593904228",,
506,16,"0,0029%","0,2391304348","1,0454545455","0,5696640316",,
507,19,"0,0034%","0,3333333333","0,3333333333","0,3333333333",,
510,74,"0,0134%","0,0705882353","2,2666666667","0,5395601484",,
511,2,"0,0004%","0,095890411","0,095890411","0,095890411",,
512,37,"0,0067%","0,125","0,5","0,3986486486",,
513,38,"0,0069%","0,1578947368","1,4210526316","0,6483020417",,
516,20,"0,0036%","0,2790697674","0,2790697674","0,2790697674",,
517,7,"0,0013%","0,2340425532","0,2340425532","0,2340425532",,
518,33,"0,0060%","0,0945945946","2,6428571429","0,567041067",,
520,59,"0,0107%","0,1230769231","1,3","0,5466753585",,
522,29,"0,0053%","0,0689655172","1,6111111111","0,552582904",,
525,46,"0,0083%","0,0933333333","2,3333333333","0,5812836439",,
527,49,"0,0089%","0,5483870968","1,8235294118","0,5744104093",,
528,62,"0,0112%","0,1212121212","2,0625","0,5929557674",,
529,5,"0,0009%",1,1,1,,
530,14,"0,0025%","0,0471698113","0,1886792453","0,1785714286",,
531,15,"0,0027%","0,1525423729","0,1525423729","0,1525423729",,
532,62,"0,0112%","0,0921052632","2,7142857143","0,7396919719",,
533,20,"0,0036%","0,3170731707","0,3170731707","0,3170731707",,
534,1,"0,0002%","0,0674157303","0,0674157303","0,0674157303",,
536,2,"0,0004%","0,1194029851","0,1194029851","0,1194029851",,
539,19,"0,0034%","0,0909090909","0,2244897959","0,1612147251",,
540,126,"0,0229%","0,15","3,75","0,606143445",,
544,71,"0,0129%","0,1176470588","2,125","0,7030602734",,
546,61,"0,0111%","0,0897435897","1,2380952381","0,4824055726",,
549,19,"0,0034%","0,1475409836","0,1475409836","0,1475409836",,
550,36,"0,0065%","0,1818181818","1,1363636364","0,5034848485",,
551,42,"0,0076%","0,6551724138","1,5263157895","0,9248120301",,
552,23,"0,0042%","0,0652173913","1,0434782609","0,3573566478",,
555,41,"0,0074%","0,4054054054","2,4666666667","0,5059547352",,
558,52,"0,0094%","0,1451612903","1,7222222222","0,5512131238",,
559,16,"0,0029%","0,3023255814","0,3023255814","0,3023255814",,
560,104,"0,0189%","0,1142857143","1,4","0,4408653846",,
561,39,"0,0071%","0,2156862745","1,9411764706","0,5462315462",,
564,13,"0,0024%","0,2553191489","0,2553191489","0,2553191489",,
567,46,"0,0083%","0,0864197531","1,2857142857","0,7449582087",,
568,14,"0,0025%","0,1126760563","0,1126760563","0,1126760563",,
570,84,"0,0152%","0,1754385965","1,5789473684","0,5540309106",,
572,59,"0,0107%","0,2115384615","1,1818181818","0,4167950693",,
574,17,"0,0031%","0,0853658537","0,3414634146","0,3263988522",,
575,8,"0,0015%","0,92","1,0869565217","1,0452173913",,
576,94,"0,0171%","0,0625","1,7777777778","0,4666260343",,
578,22,"0,0040%","0,5",2,"0,6363636364",,
580,51,"0,0093%","0,1724137931","1,45","0,6884381339",,
583,9,"0,0016%","0,2075471698","0,2075471698","0,2075471698",,
584,5,"0,0009%","0,1095890411","0,1095890411","0,1095890411",,
585,40,"0,0073%","0,1384615385","3,4615384615","0,5251282051",,
588,73,"0,0132%","0,0833333333","1,3333333333","0,5931879601",,
589,35,"0,0063%","0,6129032258","1,6315789474","0,7875333495",,
590,12,"0,0022%","0,1694915254","0,1694915254","0,1694915254",,
592,24,"0,0044%","0,1081081081","2,3125","0,5755912162",,
594,83,"0,0151%","0,0606060606","1,2272727273","0,5031236055",,
595,42,"0,0076%","0,0823529412","2,0588235294","0,5510204082",,
598,18,"0,0033%","0,2826086957","3,5384615385","0,9392419175",,
600,144,"0,0261%","0,1066666667","2,6666666667","0,5796180556",,
602,20,"0,0036%","0,0813953488","0,3255813953","0,2889534884",,
603,2,"0,0004%","0,1343283582","0,1343283582","0,1343283582",,
605,7,"0,0013%","0,2","0,2","0,2",,
608,93,"0,0169%","0,1052631579","2,375","0,5919991511",,
609,32,"0,0058%","0,0804597701","1,380952381","0,9302134647",,
610,28,"0,0051%","0,1639344262","0,1639344262","0,1639344262",,
611,13,"0,0024%","0,2765957447","0,2765957447","0,2765957447",,
612,84,"0,0152%","0,0261437908","2,1176470588","0,4719887955",,
615,18,"0,0033%","0,3658536585","2,7333333333","0,4973803071",,
616,89,"0,0161%","0,025974026","1,2727272727","0,473533489",,
620,42,"0,0076%","0,0258064516","1,55","0,7188940092",,
621,17,"0,0031%","0,1304347826","1,1739130435","0,6351236147",,
623,1,"0,0002%","0,0786516854","0,0786516854","0,0786516854",,
624,63,"0,0114%","0,1025641026","2,4375","0,416971917",,
625,1,"0,0002%",1,1,1,,
627,73,"0,0132%","0,1929824561","1,7368421053","0,5556575124",,
629,38,"0,0069%","0,4594594595","2,1764705882","0,5046439628",,
630,127,"0,0230%","0,0777777778","2,8","0,5823647044",,
632,3,"0,0005%","0,1012658228","0,1012658228","0,1012658228",,
636,8,"0,0015%","0,2264150943","0,2264150943","0,2264150943",,
637,7,"0,0013%","0,0769230769","0,2653061224","0,2383942588",,
638,38,"0,0069%","0,1896551724","1,3181818182","0,6069130507",,
639,14,"0,0025%","0,1267605634","0,1267605634","0,1267605634",,
640,67,"0,0122%","0,0390625","2,5","0,6425606343",,
642,1,"0,0002%","0,0560747664","0,0560747664","0,0560747664",,
644,28,"0,0051%","0,0760869565","3,2857142857","0,666703638",,
645,21,"0,0038%","0,3488372093","0,3488372093","0,3488372093",,
646,72,"0,0131%","0,4473684211","1,7894736842","0,5590170279",,
648,66,"0,0120%","0,0555555556",2,"0,5349560419",,
649,14,"0,0025%","0,186440678","0,186440678","0,186440678",,
650,31,"0,0056%","0,1538461538","1,04","0,5195037221",,
651,17,"0,0031%","0,0752688172","1,4761904762","0,9239179543",,
656,22,"0,0040%","0,0975609756","2,5625","0,4756790466",,
657,10,"0,0018%","0,1232876712","0,1232876712","0,1232876712",,
658,8,"0,0015%","0,0744680851","3,3571428571","0,6244300912",,
660,169,"0,0307%","0,1515151515","2,9333333333","0,5039806347",,
663,39,"0,0071%","0,2549019608","2,2941176471","0,5138647175",,
664,1,"0,0002%","0,0963855422","0,0963855422","0,0963855422",,
665,53,"0,0096%","0,0736842105","1,8421052632","0,6565754008",,
666,28,"0,0051%","0,0540540541","2,0555555556","0,5049335049",,
667,25,"0,0045%","0,7931034483","1,2608695652","0,9427886057",,
670,1,"0,0002%","0,1492537313","0,1492537313","0,1492537313",,
671,21,"0,0038%","0,1803278689","0,1803278689","0,1803278689",,
672,99,"0,0180%","0,0729166667","2,625","0,5972823473",,
675,52,"0,0094%","0,12",3,"0,5571509972",,
676,22,"0,0040%","0,25",1,"0,3522727273",,
679,1,"0,0002%","0,0721649485","0,0721649485","0,0721649485",,
680,81,"0,0147%","0,0941176471","2,3529411765","0,6681917211",,
682,33,"0,0060%","0,1774193548","1,4090909091","0,6806185017",,
684,71,"0,0129%","0,0526315789","2,1111111111","0,6085783708",,
686,16,"0,0029%","0,2857142857","0,2857142857","0,2857142857",,
688,43,"0,0078%","0,0930232558","2,6875","0,5206530557",,
689,11,"0,0020%","0,2452830189","0,2452830189","0,2452830189",,
690,51,"0,0093%","0,1449275362","1,3043478261","0,5736004547",,
693,59,"0,0107%","0,1168831169","1,5714285714","0,5618167144",,
696,33,"0,0060%","0,0517241379","1,2083333333","0,3927638454",,
697,22,"0,0040%","0,4146341463","2,4117647059","0,6869701317",,
700,60,"0,0109%","0,07","1,75","0,6409285714",,
702,51,"0,0093%","0,0512820513","2,1666666667","0,5286855483",,
703,37,"0,0067%","0,5135135135","1,9473684211","0,5522663489",,
704,82,"0,0149%","0,0909090909","2,75","0,5243209534",,
705,7,"0,0013%","0,3191489362","0,3191489362","0,3191489362",,
708,24,"0,0044%","0,2033898305","0,2033898305","0,2033898305",,
710,9,"0,0016%","0,1408450704","0,1408450704","0,1408450704",,
711,19,"0,0034%","0,1139240506","0,1139240506","0,1139240506",,
713,7,"0,0013%","0,7419354839","0,7419354839","0,7419354839",,
714,93,"0,0169%","0,068627451","2,4705882353","0,615508569",,
715,23,"0,0042%","0,1692307692","0,2363636364","0,2130130739",,
720,163,"0,0296%","0,0888888889","3,2","0,5487304022",,
722,25,"0,0045%","0,5","0,5","0,5",,
725,14,"0,0025%","0,8620689655","1,16","0,92591133",,
726,61,"0,0111%","0,1666666667","1,5","0,6338797814",,
728,29,"0,0053%","0,0879120879","1,0769230769","0,3742421372",,
729,8,"0,0015%",1,1,1,,
730,10,"0,0018%","0,1369863014","0,1369863014","0,1369863014",,
